,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Wed Feb 06, 2019",Everton FC,0,0%,-,+574,+894,+878,+820,-,-300,+850,+475,-,-300,+820,+487,-,-300,+878,+492,-,-300,+819,+464,-,-300,+820,+487,-,-300,+850,+475,421.9545,0.3015,0.2815,894,0.1006,1,0,1.7981,0.20113087248322142,255.24,3.5524,3.6034,0.0076,0.0107,3.5014,0.0081,0.0116
1,0,"Wed Feb 06, 2019",Manchester City,0,100%,-,-300,-319,-314,-340,+574,+351,-305,+879,+574,+351,-340,+825,+574,+351,-325,+894,+574,+351,-392,-,+574,+351,-340,+763,+574,+351,-305,+1000,245.5926,0.385,0.365,1000,0.0909,1,0,3.015,0.3015,173.97,2.7397,2.7744999999999997,0.0111,0.017,2.7049000000000003,0.0119,0.0187
2,0,"Wed Feb 06, 2019",Draw,0,0%,-,+351,+497,+495,+487,+272,-160,+370,-311,+272,-156,+400,-333,+272,-155,+441,-319,+272,-177,-,-,+272,-156,+401,-303,+272,-160,+470,-320,115.1538,0.4158,0.3958,497,0.1675,1,0,1.3629,0.27423058350100604,152.65,2.5265,2.557,0.0127,0.0198,2.496,0.0135,0.022
3,1,"Saturday, February 09, 2019",Fulham FC,0,88%,+349,+441,+446,+401,+825,+425,+320,-164,+486,+401,+312,-161,+480,+438,+329,-152,+497,+407,+300,-,-,+401,+312,-156,+456,+425,+320,-148,+560,315.4231,0.2759,0.25589999999999996,825,0.1081,1,0,1.3671,0.16570606060606058,290.78,3.9078,3.966,0.0067,0.0092,3.8496000000000006,0.0071,0.0099
4,1,"Saturday, February 09, 2019",Manchester United,0,0%,-169,-152,-150,-156,-333,+211,+280,-105,+750,+211,+273,+100,+775,+211,+290,+106,+894,+211,+265,-,-,+211,+273,+104,+879,+211,+280,+109,-,229.92,0.3602,0.3402,894,0.1006,1,0,2.3816,0.2663968680089485,193.94,2.9394,2.9782,0.01,0.0149,2.9006,0.0106,0.0163
5,1,"Saturday, February 09, 2019",Draw,0,13%,+272,+329,+322,+312,+480,+110,+250,+245,-357,+104,+243,+250,-333,+105,+255,+292,-319,-103,+232,-,-,+104,+243,+273,-311,+110,+250,+298,-,135.36,0.3988,0.37879999999999997,480,0.1724,1,0,1.197,0.24938333333333332,163.99,2.6399,2.6727,0.0118,0.0182,2.6071,0.0126,0.0201
6,2,"Saturday, February 09, 2019",Crystal Palace,0,0%,-103,+106,+109,+104,+400,+272,-165,+430,+450,+272,-158,+420,+475,+272,-161,+451,+497,+272,-176,-,-,+272,-158,+427,+486,+272,-165,+490,-,219.76,0.3443,0.3243,497,0.1675,1,0,0.9361,0.18834426559356135,208.36,3.0836,3.1253,0.0093,0.0137,3.0419,0.0099,0.0149
7,2,"Saturday, February 09, 2019",West Ham United,0,100%,+243,+292,+290,+273,-161,+425,+315,-170,+750,+427,+307,-159,+878,+455,+327,-155,+894,+419,+294,-,+800,+427,+307,-158,+860,+425,+315,-150,+800,345.4444,0.2853,0.2653,894,0.1006,1,0,1.6371,0.18311879194630867,276.93,3.7693,3.8247000000000004,0.007,0.0097,3.7139000000000006,0.0074,0.0105
8,2,"Saturday, February 09, 2019",Draw,0,0%,+211,+255,+248,+243,+300,-,+889,-475,-303,-,+889,-454,-314,-,+889,-513,-319,-,+889,-606,-359,-,+889,-454,-366,-,+889,-475,-275,66.6818,0.5126,0.4925999999999999,889,0.1011,1,0,3.8718,0.4355246344206973,103.0,2.03,2.0506,0.0187,0.0316,2.0094000000000003,0.02,0.0348
9,3,"Saturday, February 09, 2019",Huddersfield Town,0,100%,+385,+458,+479,+427,+100,-563,+489,+1300,+450,-563,+489,+1168,+495,-563,+489,+1417,+497,-563,+489,+1183,+467,-563,+489,+1168,+480,-563,+489,+1300,+450,406.9643,0.3089,0.2889,1417,0.0659,1,0,3.3826,0.2387165137614679,246.14,3.4614,3.5106,0.0079,0.0112,3.4122,0.0084,0.0121
10,3,"Saturday, February 09, 2019",Arsenal FC,0,0%,-182,-158,-158,-158,+250,+241,+385,-130,+275,+241,+387,-130,+300,+241,+384,-130,+329,+241,+369,-,-,+241,+387,-135,+312,+241,+385,-130,+325,169.4231,0.3534,0.3334,387,0.2053,1,0,0.6237,0.16115193798449606,199.94,2.9994,3.0394,0.0097,0.0144,2.9594,0.0103,0.0157
11,3,"Saturday, February 09, 2019",Draw,0,0%,+272,+327,+316,+307,+230,-130,+280,+355,+375,-135,+270,+380,+400,-132,+293,+387,+441,-145,+261,-,-,-135,+270,+387,+370,-130,+280,+400,-,220.88,0.3163,0.2963,441,0.1848,1,0,0.603,0.13673083900226757,237.5,3.375,3.4225,0.0082,0.0117,3.3275,0.0087,0.0127
12,4,"Saturday, February 09, 2019",Liverpool FC,0,90%,-,-563,-488,-467,+420,+212,+220,+120,-161,+212,+221,+125,-154,+212,+230,+127,-152,+212,+210,-,-,+212,+221,+124,-164,+212,+220,+135,-,59.84,0.446,0.426,420,0.1923,1,0,1.2152,0.28933333333333333,134.74,2.3474,2.3743,0.0143,0.023,2.3205,0.0154,0.0258
13,4,"Saturday, February 09, 2019",AFC Bournemouth,0,0%,-,+889,+1428,+1226,-159,+125,+245,+190,+290,+124,+244,+210,+310,+126,+255,+232,+329,+118,+233,-,-,+124,+244,+221,+275,+125,+245,+232,-,315.24,0.3145,0.2945,1428,0.0654,1,0,3.5,0.2450952380952381,239.56,3.3956,3.4435,0.0081,0.0116,3.3477,0.0086,0.0125
14,4,"Saturday, February 09, 2019",Draw,0,10%,-,+489,+618,+636,+280,+200,+295,+120,-,+200,+289,+112,+446,+200,+296,+114,+441,+200,+274,-,+399,+200,+289,+108,+417,+200,+295,+116,+400,293.6154,0.2903,0.2703,636,0.1359,1,0,0.9894,0.15556729559748428,269.96,3.6996,3.7536,0.0072,0.01,3.6456,0.0076,0.0108
15,5,"Saturday, February 09, 2019",Southampton FC,0,100%,-150,-130,-130,-135,-454,+110,+230,+215,-,+108,+220,+265,-150,+113,+232,+298,-152,+101,+212,-,-168,+108,+220,+289,-168,+110,+230,+305,-163,66.0,0.4493,0.42929999999999996,305,0.2469,1,0,0.7387,0.24218524590163934,132.94,2.3294,2.3560000000000003,0.0145,0.0234,2.3028,0.0156,0.0262
16,5,"Saturday, February 09, 2019",Cardiff City,0,0%,+341,+387,+403,+387,+1168,+251,+425,-162,-,+251,+401,-149,+322,+251,+457,-138,+329,+251,+418,-,+310,+251,+401,-151,+316,+251,+425,-138,+300,277.5769,0.2974,0.2774,1168,0.0789,1,0,2.5174,0.2155335616438356,260.49,3.6049,3.657,0.0075,0.0105,3.5528,0.0079,0.0113
17,5,"Saturday, February 09, 2019",Draw,0,0%,+241,+293,+285,+270,+575,-155,+280,+420,+225,-151,+286,+420,+230,-140,+281,+460,+255,-160,+264,-,-,-151,+286,+401,+243,-155,+280,+460,+250,213.5385,0.3286,0.3086,575,0.1481,1,0,1.083,0.1883565217391304,224.04,3.2404,3.2852,0.0087,0.0125,3.1956,0.0092,0.0136
18,6,"Saturday, February 09, 2019",Watford FC,0,100%,+118,+127,+133,+124,-476,-,-,-200,+100,-,-,-200,+105,-,-,-199,+106,-,-,-230,-,-,-,-200,-105,-,-,-200,-,-79.6429,0.5827,0.5627,133,0.4292,1,0,0.3111,0.23390300751879697,-128.6836,1.7771,1.7926,0.0246,0.0437,1.7616,0.02,0.0369
19,6,"Saturday, February 09, 2019",Everton FC,0,0%,+193,+232,+229,+221,+1100,-,-,+575,+260,-,-,+513,+275,-,-,+578,+292,-,-,+543,-,-,-,+513,+245,-,-,+575,-,439.3571,0.2154,0.19540000000000002,1100,0.0833,1,0,1.3448,0.12225454545454545,411.77,5.1177,5.2001,0.0047,0.0061,5.0353,0.005,0.0065
20,6,"Saturday, February 09, 2019",Draw,0,0%,+212,+255,+248,+244,+520,-,-,-,+225,-,-,-,+245,-,-,-,+255,-,-,-,-,-,-,-,+225,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
21,7,"Saturday, February 09, 2019",Brighton & Hove Albion FC,0,-,-102,+114,+113,+108,-130,-,-,-,-,-,-,-,+109,-,-,-,+106,-,-,-,+101,-,-,-,-101,-,-,-,+100,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
22,7,"Saturday, February 09, 2019",Burnley FC,0,-,+253,+298,+300,+289,+380,-,-,-,-,-,-,-,+290,-,-,-,+292,-,-,-,+263,-,-,-,+277,-,-,-,+280,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
23,7,"Saturday, February 09, 2019",Draw,0,-,+200,+232,+233,+220,+240,-,-,-,-,-,-,-,+248,-,-,-,+255,-,-,-,+237,-,-,-,+239,-,-,-,+230,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
24,8,"Sunday, February 10, 2019",Tottenham Hotspur,0,-,-172,-138,-140,-151,+125,-,-,-,+295,-,-,-,+280,-,-,-,+322,-,-,-,-,-,-,-,+307,-,-,-,+330,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
25,8,"Sunday, February 10, 2019",Leicester City,0,-,+393,+460,+453,+401,+210,-,-,-,+400,-,-,-,+425,-,-,-,+451,-,-,-,-,-,-,-,+430,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
26,8,"Sunday, February 10, 2019",Draw,0,-,+251,+281,+291,+286,+230,-,-,-,-167,-,-,-,-154,-,-,-,-155,-,-,-,-,-,-,-,-170,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
27,9,"Sunday, February 10, 2019",Manchester City,0,-,-,-,-195,-,+112,-,-,-,+290,-,-,-,+305,-,-,-,+322,-,-,-,-,-,-,-,+295,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
28,9,"Sunday, February 10, 2019",Chelsea FC,0,-,-,-,+582,-,+265,-,-,-,-,-,-,-,+479,-,-,-,+451,-,-,-,+417,-,-,-,+440,-,-,-,+450,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
29,9,"Sunday, February 10, 2019",Draw,0,-,-,-,+363,-,+205,-,-,-,-,-,-,-,-158,-,-,-,-155,-,-,-,-167,-,-,-,-172,-,-,-,-182,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
30,10,"Monday, February 11, 2019",Wolverhampton Wanderers,0,-,-,-,-,-,-149,-,-,-,-,-,-,-,+316,-,-,-,+322,-,-,-,+299,-,-,-,+313,-,-,-,+320,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
31,10,"Monday, February 11, 2019",Newcastle United,0,-,-,-,-,-,+420,-,-,-,+600,-,-,-,+575,-,-,-,+618,-,-,-,+576,-,-,-,+575,-,-,-,+600,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
32,10,"Monday, February 11, 2019",Draw,0,-,-,-,-,-,+255,-,-,-,-455,-,-,-,-476,-,-,-,-488,-,-,-,-,-,-,-,-454,-,-,-,-440,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
33,11,"Friday, February 22, 2019",Cardiff City,0,-,-,-,-,-,-200,-,-,-,+1050,-,-,-,+1100,-,-,-,+1428,-,-,-,-,-,-,-,+1168,-,-,-,+1400,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
34,11,"Friday, February 22, 2019",Watford FC,0,-,-,-,-,-,+513,-,-,-,+520,-,-,-,+520,-,-,-,+618,-,-,-,-,-,-,-,+575,-,-,-,+680,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
35,11,"Friday, February 22, 2019",Draw,0,-,-,-,-,-,+338,-,-,-,-500,-,-,-,-455,-,-,-,-488,-,-,-,-,-,-,-,-455,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
36,12,"Friday, February 22, 2019",West Ham United,0,-,-,-,-,-,-200,-,-,-,+1100,-,-,-,+1175,-,-,-,+1428,-,-,-,-,-,-,-,+1050,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
37,12,"Friday, February 22, 2019",Fulham FC,0,-,-,-,-,-,+580,-,-,-,+550,-,-,-,+575,-,-,-,+618,-,-,-,-,-,-,-,+520,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
38,12,"Friday, February 22, 2019",Draw,0,-,-,-,-,-,+290,-,-,-,-,-,-,-,-467,-,-,-,-488,-,-,-,-504,-,-,-,-,-,-,-,-600,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
39,13,"Saturday, February 23, 2019",Burnley FC,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+1226,-,-,-,+1428,-,-,-,+1100,-,-,-,-,-,-,-,+1200,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
40,13,"Saturday, February 23, 2019",Tottenham Hotspur,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+636,-,-,-,+618,-,-,-,+547,-,-,-,-,-,-,-,+650,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
41,13,"Saturday, February 23, 2019",Draw,0,-,-,-,-,-,-,-,-,-,+235,-,-,-,+240,-,-,-,+293,-,-,-,-,-,-,-,+270,-,-,-,+294,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
42,14,"Saturday, February 23, 2019",AFC Bournemouth,0,-,-,-,-,-,-,-,-,-,-137,-,-,-,-133,-,-,-,-130,-,-,-,-,-,-,-,-130,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
43,14,"Saturday, February 23, 2019",Wolverhampton Wanderers,0,-,-,-,-,-,-,-,-,-,+375,-,-,-,+385,-,-,-,+387,-,-,-,-,-,-,-,+355,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
44,14,"Saturday, February 23, 2019",Draw,0,-,-,-,-,-,-,-,-,-,+250,-,-,-,+270,-,-,-,+293,-,-,-,-,-,-,-,+235,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
45,15,"Saturday, February 23, 2019",Newcastle United,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-130,-,-,-,-130,-,-,-,-139,-,-,-,-140,-,-,-,-138,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
46,15,"Saturday, February 23, 2019",Huddersfield Town,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+403,-,-,-,+387,-,-,-,+374,-,-,-,+369,-,-,-,+375,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
47,15,"Saturday, February 23, 2019",Draw,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+285,-,-,-,+293,-,-,-,+261,-,-,-,+281,-,-,-,+260,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
48,16,"Saturday, February 23, 2019",Leicester City,0,-,-,-,-,-,-,-,-,-,+230,-,-,-,+230,-,-,-,+255,-,-,-,-,-,-,-,+244,-,-,-,+256,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
49,16,"Saturday, February 23, 2019",Crystal Palace,0,-,-,-,-,-,-,-,-,-,+120,-,-,-,+125,-,-,-,+127,-,-,-,-,-,-,-,+120,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
50,16,"Saturday, February 23, 2019",Draw,0,-,-,-,-,-,-,-,-,-,+210,-,-,-,+220,-,-,-,+232,-,-,-,-,-,-,-,+190,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
51,17,"Sunday, February 24, 2019",Arsenal FC,0,-,-,-,-,-,-,-,-,-,+225,-,-,-,+245,-,-,-,+255,-,-,-,-,-,-,-,+230,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
52,17,"Sunday, February 24, 2019",Southampton FC,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+133,-,-,-,+127,-,-,-,+120,-,-,-,+119,-,-,-,+130,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
53,17,"Sunday, February 24, 2019",Draw,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+229,-,-,-,+232,-,-,-,+214,-,-,-,+220,-,-,-,+200,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
54,18,"Sunday, February 24, 2019",Manchester United,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+248,-,-,-,+255,-,-,-,+236,-,-,-,+242,-,-,-,+240,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
55,18,"Sunday, February 24, 2019",Liverpool FC,0,-,-,-,-,-,-,-,-,-,+210,-,-,-,+205,-,-,-,+232,-,-,-,-,-,-,-,+220,-,-,-,+238,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
56,18,"Sunday, February 24, 2019",Draw,0,-,-,-,-,-,-,-,-,-,+105,-,-,-,+110,-,-,-,+114,-,-,-,-,-,-,-,+120,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
